iter	Passed	Remaining
0	162	162026
1	175	87365
2	182	60693
3	188	47029
4	194	38644
5	199	33068
6	205	29200
7	211	26220
8	216	23870
9	222	21988
10	227	20478
11	233	19213
12	239	18159
13	244	17236
14	250	16421
15	255	15701
16	260	15065
17	266	14518
18	271	14026
19	277	13583
20	282	13160
21	287	12793
22	293	12469
23	298	12152
24	304	11884
25	310	11636
26	315	11387
27	322	11184
28	328	11001
29	334	10825
30	340	10647
31	346	10476
32	351	10299
33	356	10133
34	361	9979
35	367	9830
36	372	9692
37	377	9566
38	382	9435
39	389	9345
40	395	9241
41	400	9141
42	406	9053
43	412	8971
44	418	8876
45	423	8783
46	429	8707
47	435	8643
48	442	8582
49	448	8524
50	454	8460
51	461	8406
52	467	8358
53	475	8326
54	481	8274
55	487	8213
56	492	8152
57	498	8089
58	503	8028
59	509	7975
60	514	7920
61	519	7862
62	525	7813
63	530	7763
64	536	7722
65	542	7683
66	548	7644
67	554	7603
68	560	7566
69	567	7534
70	573	7505
71	580	7480
72	586	7451
73	592	7418
74	599	7391
75	605	7361
76	611	7328
77	617	7294
78	622	7262
79	628	7226
80	634	7201
81	640	7174
82	646	7146
83	652	7116
84	658	7086
85	663	7056
86	669	7027
87	675	6998
88	681	6973
89	687	6948
90	692	6920
91	698	6891
92	704	6867
93	709	6842
94	715	6818
95	721	6793
96	727	6771
97	733	6749
98	739	6725
99	744	6704
100	750	6683
101	756	6660
102	762	6640
103	768	6619
104	773	6594
105	779	6573
106	785	6553
107	791	6535
108	797	6516
109	803	6497
110	808	6476
111	814	6458
112	820	6440
113	826	6422
114	832	6406
115	838	6389
116	844	6375
117	850	6357
118	855	6336
119	861	6317
120	867	6299
121	873	6284
122	879	6269
123	884	6251
124	890	6234
125	895	6214
126	901	6200
127	907	6183
128	913	6166
129	918	6149
130	924	6131
131	930	6115
132	935	6100
133	941	6087
134	947	6073
135	953	6060
136	960	6049
137	966	6039
138	973	6029
139	979	6019
140	985	6005
141	991	5993
142	998	5982
143	1005	5974
144	1011	5962
145	1017	5952
146	1023	5940
147	1029	5929
148	1036	5919
149	1043	5910
150	1049	5900
151	1056	5893
152	1062	5883
153	1069	5873
154	1075	5864
155	1082	5855
156	1088	5846
157	1094	5833
158	1100	5823
159	1107	5815
160	1114	5808
161	1121	5800
162	1127	5790
163	1134	5783
164	1141	5775
165	1148	5771
166	1155	5764
167	1162	5755
168	1168	5747
169	1175	5741
170	1183	5737
171	1190	5732
172	1197	5723
173	1203	5711
174	1209	5703
175	1216	5697
176	1223	5689
177	1230	5681
178	1236	5672
179	1243	5666
180	1250	5658
181	1257	5650
182	1263	5642
183	1270	5634
184	1276	5623
185	1282	5614
186	1289	5606
187	1295	5596
188	1301	5585
189	1307	5576
190	1314	5566
191	1319	5553
192	1325	5542
193	1331	5532
194	1337	5522
195	1343	5512
196	1350	5504
197	1356	5495
198	1362	5483
199	1367	5469
200	1373	5459
201	1379	5449
202	1385	5439
203	1391	5429
204	1397	5420
205	1403	5409
206	1409	5398
207	1414	5385
208	1420	5376
209	1426	5366
210	1432	5356
211	1438	5346
212	1444	5336
213	1450	5326
214	1455	5314
215	1461	5304
216	1467	5296
217	1473	5285
218	1479	5275
219	1484	5264
220	1490	5254
221	1496	5244
222	1502	5234
223	1508	5225
224	1514	5215
225	1519	5205
226	1525	5196
227	1531	5184
228	1536	5174
229	1543	5166
230	1549	5157
231	1555	5148
232	1560	5137
233	1566	5127
234	1571	5116
235	1577	5106
236	1583	5097
237	1589	5088
238	1595	5079
239	1601	5070
240	1606	5059
241	1612	5049
242	1618	5040
243	1624	5032
244	1630	5024
245	1636	5015
246	1642	5006
247	1647	4996
248	1653	4986
249	1659	4978
250	1665	4970
251	1671	4961
252	1677	4953
253	1683	4944
254	1689	4935
255	1694	4926
256	1700	4916
257	1706	4908
258	1712	4899
259	1718	4890
260	1723	4881
261	1729	4870
262	1735	4862
263	1741	4855
264	1747	4847
265	1753	4839
266	1759	4830
267	1765	4823
268	1771	4814
269	1777	4804
270	1782	4796
271	1788	4787
272	1794	4779
273	1800	4771
274	1806	4763
275	1812	4754
276	1817	4744
277	1823	4735
278	1829	4727
279	1835	4719
280	1840	4710
281	1846	4701
282	1852	4692
283	1857	4683
284	1863	4675
285	1869	4666
286	1874	4657
287	1880	4648
288	1885	4638
289	1891	4630
290	1897	4622
291	1903	4614
292	1908	4605
293	1914	4596
294	1919	4587
295	1925	4579
296	1931	4571
297	1936	4562
298	1942	4553
299	1948	4546
300	1954	4537
301	1960	4530
302	1966	4522
303	1971	4514
304	1977	4506
305	1983	4498
306	1989	4490
307	1994	4482
308	2000	4473
309	2006	4466
310	2012	4458
311	2018	4451
312	2024	4444
313	2030	4436
314	2036	4428
315	2042	4421
316	2048	4414
317	2054	4407
318	2060	4399
319	2066	4390
320	2071	4381
321	2077	4373
322	2082	4365
323	2088	4357
324	2094	4349
325	2099	4341
326	2105	4332
327	2111	4325
328	2116	4317
329	2122	4310
330	2128	4302
331	2134	4294
332	2140	4286
333	2146	4279
334	2152	4272
335	2158	4265
336	2164	4257
337	2170	4250
338	2175	4241
339	2180	4233
340	2186	4225
341	2192	4217
342	2198	4210
343	2204	4203
344	2209	4195
345	2215	4187
346	2220	4179
347	2226	4171
348	2232	4164
349	2238	4156
350	2243	4148
351	2249	4140
352	2255	4133
353	2260	4125
354	2266	4118
355	2272	4111
356	2278	4103
357	2284	4097
358	2290	4088
359	2296	4082
360	2301	4074
361	2307	4066
362	2313	4058
363	2318	4051
364	2324	4043
365	2329	4035
366	2335	4028
367	2341	4021
368	2347	4013
369	2353	4006
370	2359	4001
371	2365	3993
372	2371	3986
373	2377	3979
374	2383	3971
375	2389	3964
376	2394	3957
377	2400	3950
378	2406	3943
379	2412	3935
380	2417	3928
381	2423	3920
382	2429	3913
383	2435	3906
384	2440	3898
385	2446	3891
386	2453	3885
387	2459	3879
388	2464	3871
389	2470	3864
390	2476	3856
391	2481	3848
392	2487	3841
393	2492	3834
394	2498	3826
395	2503	3818
396	2509	3811
397	2514	3803
398	2520	3796
399	2525	3788
400	2531	3782
401	2537	3775
402	2543	3767
403	2548	3760
404	2554	3753
405	2560	3746
406	2566	3739
407	2572	3732
408	2578	3725
409	2583	3717
410	2589	3710
411	2595	3703
412	2600	3696
413	2606	3689
414	2612	3682
415	2618	3676
416	2624	3669
417	2630	3662
418	2636	3656
419	2643	3649
420	2648	3642
421	2654	3635
422	2660	3628
423	2665	3621
424	2671	3614
425	2677	3607
426	2682	3600
427	2689	3594
428	2696	3589
429	2702	3582
430	2709	3576
431	2715	3570
432	2722	3564
433	2728	3558
434	2734	3552
435	2740	3544
436	2746	3537
437	2752	3531
438	2759	3525
439	2765	3519
440	2771	3513
441	2778	3507
442	2784	3500
443	2790	3494
444	2795	3487
445	2801	3479
446	2807	3473
447	2814	3467
448	2820	3461
449	2826	3454
450	2832	3448
451	2838	3441
452	2845	3435
453	2851	3428
454	2856	3422
455	2863	3415
456	2869	3409
457	2876	3403
458	2882	3397
459	2888	3391
460	2895	3384
461	2901	3378
462	2907	3372
463	2913	3365
464	2918	3357
465	2923	3350
466	2929	3343
467	2935	3337
468	2941	3330
469	2947	3323
470	2953	3316
471	2958	3309
472	2965	3303
473	2971	3297
474	2977	3290
475	2983	3283
476	2988	3276
477	2994	3269
478	2999	3262
479	3005	3255
480	3011	3249
481	3017	3243
482	3023	3236
483	3029	3229
484	3034	3222
485	3040	3215
486	3045	3208
487	3051	3201
488	3057	3195
489	3063	3188
490	3068	3181
491	3074	3174
492	3080	3167
493	3086	3161
494	3091	3154
495	3097	3147
496	3102	3140
497	3108	3133
498	3114	3126
499	3119	3119
500	3125	3112
501	3131	3106
502	3136	3099
503	3142	3092
504	3147	3085
505	3153	3078
506	3159	3072
507	3165	3065
508	3170	3058
509	3176	3051
510	3182	3045
511	3187	3038
512	3194	3032
513	3200	3025
514	3205	3018
515	3211	3011
516	3217	3005
517	3222	2998
518	3228	2992
519	3233	2985
520	3239	2978
521	3245	2971
522	3251	2965
523	3257	2958
524	3263	2952
525	3269	2946
526	3275	2939
527	3281	2933
528	3286	2926
529	3292	2919
530	3298	2912
531	3304	2907
532	3310	2900
533	3316	2893
534	3321	2887
535	3327	2880
536	3333	2873
537	3339	2867
538	3345	2861
539	3351	2855
540	3358	2849
541	3365	2843
542	3372	2838
543	3378	2831
544	3384	2825
545	3390	2819
546	3397	2813
547	3402	2806
548	3409	2800
549	3415	2794
550	3421	2788
551	3427	2781
552	3433	2775
553	3439	2768
554	3445	2762
555	3451	2756
556	3457	2749
557	3463	2743
558	3469	2737
559	3475	2730
560	3481	2724
561	3486	2717
562	3492	2710
563	3498	2704
564	3504	2697
565	3509	2690
566	3514	2684
567	3520	2677
568	3526	2670
569	3531	2663
570	3537	2657
571	3544	2652
572	3551	2646
573	3558	2640
574	3564	2634
575	3571	2628
576	3576	2622
577	3582	2615
578	3588	2609
579	3594	2602
580	3600	2596
581	3605	2589
582	3611	2582
583	3616	2576
584	3622	2569
585	3627	2563
586	3633	2556
587	3638	2549
588	3644	2542
589	3650	2537
590	3656	2530
591	3662	2524
592	3668	2517
593	3674	2511
594	3679	2504
595	3685	2498
596	3691	2491
597	3697	2485
598	3702	2478
599	3708	2472
600	3714	2466
601	3720	2459
602	3726	2453
603	3731	2446
604	3737	2440
605	3742	2433
606	3748	2426
607	3754	2420
608	3759	2413
609	3765	2407
610	3771	2401
611	3777	2394
612	3783	2388
613	3788	2381
614	3794	2375
615	3800	2368
616	3805	2362
617	3811	2355
618	3816	2349
619	3822	2342
620	3828	2336
621	3833	2329
622	3839	2323
623	3845	2317
624	3851	2310
625	3856	2304
626	3862	2297
627	3868	2291
628	3874	2285
629	3880	2278
630	3885	2272
631	3891	2265
632	3897	2259
633	3902	2252
634	3908	2246
635	3914	2240
636	3920	2233
637	3925	2227
638	3931	2220
639	3936	2214
640	3942	2208
641	3948	2201
642	3954	2195
643	3960	2189
644	3965	2182
645	3971	2176
646	3977	2169
647	3982	2163
648	3989	2157
649	3995	2151
650	4000	2144
651	4005	2138
652	4011	2131
653	4017	2125
654	4023	2119
655	4029	2112
656	4034	2106
657	4040	2099
658	4045	2093
659	4051	2087
660	4057	2080
661	4063	2074
662	4069	2068
663	4075	2062
664	4080	2055
665	4086	2049
666	4092	2042
667	4097	2036
668	4103	2030
669	4108	2023
670	4114	2017
671	4120	2011
672	4125	2004
673	4131	1998
674	4137	1991
675	4142	1985
676	4148	1979
677	4154	1972
678	4159	1966
679	4166	1960
680	4171	1954
681	4177	1947
682	4183	1941
